epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2089.03,1.49108,1.13435,1.01482,0.38608,0.27201,0.26311,0.14797,1.4366,1.07551,0.9854,0.005743,0.005743,0.005743
45,2136.64,1.50385,1.14105,1.01262,0.37378,0.28121,0.26896,0.14965,1.43558,1.07397,0.98389,0.005644,0.005644,0.005644
46,2183.75,1.48951,1.13305,1.01348,0.38133,0.27972,0.26769,0.14946,1.43169,1.06947,0.98246,0.005545,0.005545,0.005545
47,2230.51,1.4863,1.13205,1.01366,0.37891,0.27462,0.26511,0.14705,1.43471,1.06851,0.98422,0.005446,0.005446,0.005446
48,2277.33,1.48809,1.13261,1.01358,0.37781,0.27543,0.26388,0.1473,1.43237,1.06795,0.9834,0.005347,0.005347,0.005347
49,2324.33,1.48436,1.1211,1.01134,0.38396,0.27551,0.26614,0.14845,1.42817,1.06439,0.98143,0.005248,0.005248,0.005248
50,2371.37,1.48596,1.12152,1.00898,0.37825,0.28032,0.26985,0.15063,1.42493,1.06072,0.98099,0.005149,0.005149,0.005149
51,2418.56,1.4812,1.11289,1.00813,0.37077,0.28371,0.27,0.15083,1.42158,1.06069,0.98059,0.00505,0.00505,0.00505
52,2465.49,1.46749,1.10921,1.00893,0.38562,0.27948,0.27314,0.15313,1.41978,1.05781,0.97921,0.004951,0.004951,0.004951
53,2512.1,1.47359,1.10937,1.00601,0.37893,0.27937,0.26918,0.15047,1.42225,1.05976,0.98033,0.004852,0.004852,0.004852
54,2559.24,1.47811,1.11436,1.00749,0.38499,0.28667,0.275,0.15399,1.4133,1.05156,0.97889,0.004753,0.004753,0.004753
55,2606.23,1.47099,1.10938,1.00523,0.38273,0.28392,0.27237,0.15264,1.4163,1.05302,0.97816,0.004654,0.004654,0.004654
56,2653.2,1.46702,1.10162,1.00539,0.38455,0.28468,0.27385,0.15378,1.41307,1.05109,0.97746,0.004555,0.004555,0.004555
57,2700.13,1.46719,1.09982,1.00521,0.38382,0.28968,0.27704,0.15569,1.40622,1.04953,0.97549,0.004456,0.004456,0.004456
58,2747.12,1.4572,1.09253,1.00324,0.38362,0.28788,0.27616,0.15518,1.41052,1.04846,0.97719,0.004357,0.004357,0.004357
59,2794.05,1.45363,1.09265,1.00444,0.38663,0.28548,0.27683,0.15545,1.40752,1.04629,0.97591,0.004258,0.004258,0.004258
60,2841.12,1.45581,1.08665,1.00291,0.38881,0.28508,0.27721,0.15558,1.40432,1.04369,0.97527,0.004159,0.004159,0.004159
61,2887.86,1.45305,1.0867,1.00041,0.37882,0.28821,0.27822,0.15659,1.40558,1.04346,0.97483,0.00406,0.00406,0.00406
62,2934.68,1.448,1.08355,0.99914,0.39152,0.2879,0.27985,0.15777,1.39872,1.03996,0.97359,0.003961,0.003961,0.003961
63,2981.62,1.45056,1.08126,0.99836,0.3874,0.28749,0.27909,0.15721,1.39931,1.04017,0.97365,0.003862,0.003862,0.003862
64,3028.63,1.45979,1.08712,0.99985,0.38577,0.29048,0.28049,0.15751,1.40033,1.03777,0.97331,0.003763,0.003763,0.003763
65,3075.27,1.44628,1.08177,0.9972,0.38236,0.29234,0.28071,0.15674,1.39846,1.04101,0.97304,0.003664,0.003664,0.003664
66,3122.14,1.4519,1.07864,0.99847,0.38943,0.28736,0.28231,0.15929,1.3986,1.036,0.97296,0.003565,0.003565,0.003565
67,3169.19,1.44338,1.07385,0.99867,0.38032,0.29528,0.28336,0.15927,1.39226,1.03446,0.97098,0.003466,0.003466,0.003466
68,3216.54,1.43961,1.06887,0.99596,0.39319,0.29297,0.28339,0.15989,1.39157,1.0315,0.97106,0.003367,0.003367,0.003367
69,3263.62,1.43962,1.06753,0.99584,0.39197,0.2918,0.28371,0.16027,1.39308,1.03228,0.97147,0.003268,0.003268,0.003268
70,3310.42,1.43099,1.06041,0.99374,0.38912,0.29398,0.28598,0.1614,1.39017,1.02957,0.97038,0.003169,0.003169,0.003169
71,3357.49,1.43253,1.05758,0.99133,0.39597,0.294,0.28452,0.16108,1.39115,1.02822,0.97219,0.00307,0.00307,0.00307
72,3404.31,1.42498,1.05592,0.99416,0.39378,0.29214,0.28492,0.16053,1.39356,1.03048,0.97199,0.002971,0.002971,0.002971
73,3451.03,1.42517,1.05531,0.99173,0.39277,0.29143,0.28528,0.16115,1.39133,1.03019,0.97189,0.002872,0.002872,0.002872
74,3498.24,1.43317,1.05669,0.9916,0.38739,0.29295,0.28416,0.16091,1.38917,1.02764,0.97113,0.002773,0.002773,0.002773
75,3544.93,1.42237,1.05351,0.98871,0.38977,0.29348,0.28547,0.16204,1.3879,1.02715,0.97071,0.002674,0.002674,0.002674
76,3592.43,1.42793,1.04947,0.99039,0.39203,0.29394,0.28462,0.16158,1.38717,1.02762,0.9702,0.002575,0.002575,0.002575
77,3639.03,1.41867,1.04699,0.98944,0.39572,0.28959,0.28623,0.16209,1.3891,1.02653,0.97058,0.002476,0.002476,0.002476
78,3685.95,1.41969,1.05089,0.99004,0.3938,0.28832,0.28701,0.16312,1.38545,1.02591,0.96918,0.002377,0.002377,0.002377
79,3732.83,1.41862,1.03805,0.99088,0.39364,0.28887,0.28683,0.16303,1.38526,1.02487,0.96981,0.002278,0.002278,0.002278
80,3779.92,1.41123,1.0382,0.98852,0.39464,0.28895,0.28723,0.16283,1.38798,1.02608,0.97029,0.002179,0.002179,0.002179
81,3827.1,1.41621,1.04434,0.98998,0.3915,0.29048,0.28772,0.1634,1.38591,1.02474,0.96979,0.00208,0.00208,0.00208
82,3873.84,1.40736,1.03615,0.98519,0.39421,0.29189,0.28798,0.16348,1.38444,1.02373,0.96899,0.001981,0.001981,0.001981
83,3920.6,1.4134,1.03286,0.98633,0.39672,0.29304,0.2893,0.16414,1.38429,1.0224,0.96816,0.001882,0.001882,0.001882
84,3966.99,1.41009,1.03764,0.98733,0.39059,0.29435,0.28962,0.16446,1.37998,1.02091,0.96726,0.001783,0.001783,0.001783
85,4013.57,1.40804,1.03147,0.98591,0.39337,0.2948,0.28939,0.16446,1.3788,1.02014,0.96713,0.001684,0.001684,0.001684
86,4059.29,1.40272,1.03063,0.98766,0.39197,0.2977,0.2897,0.16508,1.37949,1.02014,0.96712,0.001585,0.001585,0.001585
87,4105.13,1.40343,1.02849,0.98739,0.39883,0.29339,0.28974,0.1648,1.38019,1.01849,0.96768,0.001486,0.001486,0.001486
88,4150.98,1.39562,1.02118,0.98318,0.40049,0.29502,0.29125,0.16547,1.37872,1.01647,0.96723,0.001387,0.001387,0.001387
89,4197.09,1.41477,1.03193,0.98659,0.39973,0.29332,0.29071,0.16518,1.37983,1.01784,0.96757,0.001288,0.001288,0.001288
90,4243.19,1.4026,1.02704,0.98565,0.39472,0.29832,0.29129,0.16533,1.37969,1.0184,0.96755,0.001189,0.001189,0.001189
91,4289.23,1.37004,0.99923,0.98804,0.39675,0.29365,0.28843,0.16386,1.38487,1.02083,0.96789,0.00109,0.00109,0.00109
92,4331.69,1.36021,0.98632,0.98548,0.39608,0.29478,0.28757,0.1628,1.38728,1.02132,0.96887,0.000991,0.000991,0.000991
93,4374.3,1.35601,0.98147,0.98582,0.39204,0.29487,0.28763,0.16298,1.38562,1.02104,0.96808,0.000892,0.000892,0.000892
94,4416.95,1.35626,0.97903,0.98694,0.39411,0.29441,0.28844,0.16321,1.3837,1.02062,0.9677,0.000793,0.000793,0.000793
95,4459.45,1.35429,0.97831,0.98393,0.39691,0.29289,0.28893,0.16368,1.38366,1.02085,0.9681,0.000694,0.000694,0.000694
96,4501.93,1.35011,0.97277,0.98144,0.40108,0.29324,0.28957,0.16436,1.38313,1.02056,0.96813,0.000595,0.000595,0.000595
97,4544.22,1.34811,0.97012,0.98189,0.39968,0.29208,0.28941,0.16471,1.38292,1.02056,0.96832,0.000496,0.000496,0.000496
98,4586.4,1.3474,0.96482,0.98159,0.40062,0.29341,0.28902,0.1647,1.38278,1.02002,0.96813,0.000397,0.000397,0.000397
99,4628.5,1.34535,0.96618,0.97899,0.39425,0.29635,0.29018,0.16506,1.3827,1.01969,0.96774,0.000298,0.000298,0.000298
100,4670.56,1.34462,0.96307,0.97984,0.39703,0.29441,0.29007,0.16469,1.38349,1.0205,0.96792,0.000199,0.000199,0.000199
